,FULLADDR,BLOCKLOT,Ownership,Orig_Criteria,Current_Criteria,VRPA
208,2102 RIDGEHILL AVE,3212 091,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
207,2106 RIDGEHILL AVE,3212 089,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
206,2112 RIDGEHILL AVE,3212 086,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
205,2122 RIDGEHILL AVE,3212 081,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
204,2127 RIDGEHILL AVE,3212 079,Private,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
203,2119 RIDGEHILL AVE,3212 075,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
202,2117 RIDGEHILL AVE,3212 074,Private,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
201,2115 RIDGEHILL AVE,3212 073,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
212,1912 N PULASKI ST,3205 007,Private,VBNs with open permits for increment,Tranche Zero permits expired,WNADA
193,2025 N SMALLWOOD ST,3212 036,Private,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
199,2107 RIDGEHILL AVE,3212 069,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
198,2105 RIDGEHILL AVE,3212 068,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
197,2103 RIDGEHILL AVE,3212 067,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
196,2020 N PULASKI ST,3212 055,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
195,2026 N PULASKI ST,3212 052,Private,VBNs with open permits for increment,VBNs with open permits for increment,WNADA
194,2105 CLIFTON AVE,3212 048,Private,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
200,2113 RIDGEHILL AVE,3212 072,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
192,2023 N SMALLWOOD ST,3212 035,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
191,2007 N SMALLWOOD ST,3212 027,City,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
190,2142 WALBROOK AVE,3212 022,Private,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
189,2140 WALBROOK AVE,3212 021,Private,In Rem Eligible VBN,In Rem Eligible VBN,WNADA
69,722 DOLPHIN ST,0411 061,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
77,603 PITCHER ST,0360 028,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
67,760 DOLPHIN ST,0411 042,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
68,752 DOLPHIN ST,0411 046,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
70,1215 MYRTLE AVE,0412 038,Private,In Rem Eligible VBN,In Rem Eligible VBN,West IIA/WNADA
75,1338 DIVISION ST,0414 046,City,In Rem Eligible VBN,In Rem Eligible VBN,West IIA/WNADA
72,1328 DIVISION ST,0414 041,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
73,1330 DIVISION ST,0414 042,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
74,1334 DIVISION ST,0414 044,Private,ARPA Acquisition,ARPA Acquisition,West IIA/WNADA
66,762 DOLPHIN ST,0411 041,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
76,1344 DIVISION ST,0414 049,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
71,1207 MYRTLE AVE,0412 042,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
65,1332 MYRTLE AVE,0392 017,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
59,1312 MYRTLE AVE,0392 007,Private,In Rem Eligible VBN,In Rem Eligible VBN,West IIA/WNADA
63,1322 MYRTLE AVE,0392 012,Private,In Rem Eligible VBN,In Rem Eligible VBN,West IIA/WNADA
62,1320 MYRTLE AVE,0392 011,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
61,1318 MYRTLE AVE,0392 010,Private,In Rem Eligible VBN,In Rem Eligible VBN,West IIA/WNADA
60,1316 MYRTLE AVE,0392 009,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
58,1310 MYRTLE AVE,0392 006,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
48,1318 DIVISION ST,0414 036,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
47,1316 DIVISION ST,0414 035,Private,ARPA Acquisition,ARPA Acquisition,West IIA/WNADA
46,1203 ARGYLE AVE,0413 042,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
44,703 W LANVALE ST,0411 012,City,In Rem Eligible VBN,In Rem Eligible VBN,West IIA/WNADA
43,1204 MYRTLE AVE,0411 003,City,ARPA Acquisition,ARPA Acquisition,West IIA/WNADA
40,548 MCMECHEN ST,0347 052,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
64,1324 MYRTLE AVE,0392 013,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
78,601 PITCHER ST,0360 029,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
130,1311 DIVISION ST,0396 040,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
81,707 DOLPHIN ST,0430 004,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
131,1301 DIVISION ST,0396 045,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
129,1406 MYRTLE AVE,0372 002,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
122,1405 MYRTLE AVE,0373 048,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
121,1407 MYRTLE AVE,0373 047,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
120,1417 MYRTLE AVE,0373 042,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
119,1425 MYRTLE AVE,0373 038,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
113,1309 ARGYLE AVE,0394 051,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
112,1313 ARGYLE AVE,0394 049,Private,2023 Rehabs/Sales for First Increment,Former rehabbed VBN with new VBN,West IIA/WNADA
111,1315 ARGYLE AVE,0394 048,Private,In Rem Eligible VBN,In Rem Eligible VBN,West IIA/WNADA
110,1329 ARGYLE AVE,0394 041,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
80,701 DOLPHIN ST,0430 001,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
97,1305 MYRTLE AVE,0393 054,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
107,833 EDMONDSON AVE,0469 016,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
95,1309 MYRTLE AVE,0393 052,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
82,731 DOLPHIN ST,0430 016,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
83,735 DOLPHIN ST,0430 018,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
84,743 DOLPHIN ST,0430 022,Private,Other VBN Acquisition on Priority Block,Other VBN Acquisition on Priority Block,West IIA/WNADA
96,1307 MYRTLE AVE,0393 053,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
86,749 DOLPHIN ST,0430 025,Private,Other VBN Acquisition on Priority Block,Other VBN Acquisition on Priority Block,West IIA/WNADA
85,747 DOLPHIN ST,0430 024,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
90,806 W LANVALE ST,0392 055,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
91,804 W LANVALE ST,0392 056,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
92,802 W LANVALE ST,0392 057,Private,VBNs with open permits for increment,Tranche Zero permits expired,West IIA/WNADA
93,1319 MYRTLE AVE,0393 047,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
94,1311 MYRTLE AVE,0393 051,City,MCC-owned VBN,MCC-owned VBN,West IIA/WNADA
89,810 W LANVALE ST,0392 053,Private,VBNs with open permits for increment,VBNs with open permits for increment,West IIA/WNADA
329,2228 ANNAPOLIS ROAD,7443 013,Private,VBNs with open permits for increment,Tranche Zero permits expired,Westport
327,2233 SIDNEY AVE,7441A002,Private,VBNs with open permits for increment,Tranche Zero permits expired,Westport
328,2224 ANNAPOLIS ROAD,7443 011,Private,VBNs with open permits for increment,Tranche Zero permits expired,Westport
330,2311 ANNAPOLIS ROAD,7446 006,Private,VBNs with open permits for increment,Tranche Zero permits expired,Westport
133,625 N ELLWOOD AVE,1647 001L,Private,In Rem Eligible VBN,In Rem Eligible VBN,
